Instrument,Date,Change,Constituent RIC
.SPX,2022-06-21T00:00:00Z,Joiner,ON.OQ
.SPX,2022-06-21T00:00:00Z,Joiner,KDP.OQ
.SPX,2022-06-21T00:00:00Z,Leaver,UAA.N
.SPX,2022-06-21T00:00:00Z,Leaver,IPGP.OQ
.SPX,2022-06-21T00:00:00Z,Leaver,UA.N
.SPX,2022-06-08T00:00:00Z,Joiner,VICI.N
.SPX,2022-06-08T00:00:00Z,Leaver,CERN.OQ^F22
.SPX,2022-04-11T00:00:00Z,Leaver,DISCK.OQ^D22
.SPX,2022-04-04T00:00:00Z,Leaver,EMBC.OQ
.SPX,2022-04-04T00:00:00Z,Joiner,CPT.N
.SPX,2022-04-04T00:00:00Z,Leaver,PBCT.OQ^D22
.SPX,2022-04-01T00:00:00Z,Joiner,EMBC.OQ
.SPX,2022-03-02T00:00:00Z,Joiner,MOH.N
.SPX,2022-03-02T00:00:00Z,Leaver,ZIMV.OQ
.SPX,2022-03-02T00:00:00Z,Leaver,INFO.N^B22
.SPX,2022-03-01T00:00:00Z,Joiner,ZIMV.OQ
.SPX,2022-02-15T00:00:00Z,Leaver,XLNX.OQ^B22
.SPX,2022-02-15T00:00:00Z,Joiner,NDSN.OQ
.SPX,2022-02-03T00:00:00Z,Leaver,GPS.N
.SPX,2022-02-02T00:00:00Z,Joiner,CEG.OQ
.SPX,2021-12-20T00:00:00Z,Leaver,HBI.N
.SPX,2021-12-20T00:00:00Z,Joiner,FDS.N
.SPX,2021-12-20T00:00:00Z,Joiner,SBNY.OQ
.SPX,2021-12-20T00:00:00Z,Leaver,LEG.N
.SPX,2021-12-20T00:00:00Z,Leaver,WU.N
.SPX,2021-12-20T00:00:00Z,Joiner,SEDG.OQ
.SPX,2021-12-14T00:00:00Z,Joiner,EPAM.N
.SPX,2021-12-14T00:00:00Z,Leaver,KSU.N^L21
.SPX,2021-11-16T00:00:00Z,Leaver,ONL.N
.SPX,2021-11-15T00:00:00Z,Joiner,ONL.N
.SPX,2021-11-05T00:00:00Z,Leaver,KD.N
.SPX,2021-11-04T00:00:00Z,Joiner,KD.N
.SPX,2021-10-04T00:00:00Z,Leaver,SLVM.N
.SPX,2021-10-01T00:00:00Z,Joiner,SLVM.N
.SPX,2021-09-20T00:00:00Z,Joiner,BRO.N
.SPX,2021-09-20T00:00:00Z,Leaver,UNM.N
.SPX,2021-09-20T00:00:00Z,Joiner,CDAY.N
.SPX,2021-09-20T00:00:00Z,Leaver,PRGO.N
.SPX,2021-09-20T00:00:00Z,Leaver,NOV.N
.SPX,2021-09-20T00:00:00Z,Joiner,MTCH.OQ
.SPX,2021-08-30T00:00:00Z,Joiner,TECH.OQ
.SPX,2021-08-30T00:00:00Z,Leaver,MXIM.OQ^H21
.SPX,2021-08-04T00:00:00Z,Leaver,VSCO.N
.SPX,2021-08-03T00:00:00Z,Joiner,VSCO.N
.SPX,2021-07-21T00:00:00Z,Leaver,ALXN.OQ^G21
.SPX,2021-07-21T00:00:00Z,Joiner,MRNA.OQ
.SPX,2021-07-02T00:00:00Z,Leaver,DTM.N
.SPX,2021-07-01T00:00:00Z,Joiner,DTM.N
.SPX,2021-06-04T00:00:00Z,Leaver,DINO.N
.SPX,2021-06-03T00:00:00Z,Joiner,OGN.N
.SPX,2021-05-14T00:00:00Z,Joiner,CRL.N
.SPX,2021-05-14T00:00:00Z,Leaver,FLIR.OQ^E21
.SPX,2021-04-20T00:00:00Z,Joiner,PTC.OQ
.SPX,2021-04-20T00:00:00Z,Leaver,VAR.N^D21
.SPX,2021-03-22T00:00:00Z,Leaver,XRX.OQ
.SPX,2021-03-22T00:00:00Z,Leaver,VNT.N
.SPX,2021-03-22T00:00:00Z,Leaver,SLG.N
.SPX,2021-03-22T00:00:00Z,Joiner,CZR.OQ
.SPX,2021-03-22T00:00:00Z,Joiner,NXPI.OQ
.SPX,2021-03-22T00:00:00Z,Joiner,PENN.OQ
.SPX,2021-03-22T00:00:00Z,Joiner,GNRC.N
.SPX,2021-03-22T00:00:00Z,Leaver,FLS.N
.SPX,2021-02-12T00:00:00Z,Leaver,FTI.N
.SPX,2021-02-12T00:00:00Z,Joiner,MPWR.OQ
.SPX,2021-01-21T00:00:00Z,Leaver,CXO.N^A21
.SPX,2021-01-21T00:00:00Z,Joiner,TRMB.OQ
.SPX,2021-01-07T00:00:00Z,Leaver,TIF.N^A21
.SPX,2021-01-07T00:00:00Z,Joiner,ENPH.OQ
.SPX,2020-12-21T00:00:00Z,Leaver,AIRC.N
.SPX,2020-12-21T00:00:00Z,Joiner,TSLA.OQ
.SPX,2020-12-21T00:00:00Z,Leaver,AIV.N
.SPX,2020-12-15T00:00:00Z,Joiner,AIRC.N
.SPX,2020-10-12T00:00:00Z,Leaver,NBL.OQ^J20
.SPX,2020-10-09T00:00:00Z,Joiner,VNT.N
.SPX,2020-10-07T00:00:00Z,Joiner,POOL.OQ
.SPX,2020-10-07T00:00:00Z,Leaver,ETFC.OQ^J20
.SPX,2020-09-21T00:00:00Z,Joiner,ETSY.OQ
.SPX,2020-09-21T00:00:00Z,Joiner,TER.OQ
.SPX,2020-09-21T00:00:00Z,Joiner,CTLT.N
.SPX,2020-09-21T00:00:00Z,Leaver,COTY.N
.SPX,2020-09-21T00:00:00Z,Leaver,HRB.N
.SPX,2020-09-21T00:00:00Z,Leaver,KSS.N
.SPX,2020-06-22T00:00:00Z,Joiner,BIO.N
.SPX,2020-06-22T00:00:00Z,Leaver,BFH.N
.SPX,2020-06-22T00:00:00Z,Leaver,JWN.N
.SPX,2020-06-22T00:00:00Z,Leaver,HOG.N
.SPX,2020-06-22T00:00:00Z,Joiner,TYL.N
.SPX,2020-06-22T00:00:00Z,Joiner,TDY.N
.SPX,2020-05-22T00:00:00Z,Joiner,WST.N
.SPX,2020-05-22T00:00:00Z,Leaver,HP.N
.SPX,2020-05-12T00:00:00Z,Leaver,CPRI.N
.SPX,2020-05-12T00:00:00Z,Joiner,DXCM.OQ
.SPX,2020-05-12T00:00:00Z,Joiner,DPZ.N
.SPX,2020-05-12T00:00:00Z,Leaver,AGN.N^E20
.SPX,2020-04-06T00:00:00Z,Leaver,M.N
.SPX,2020-04-06T00:00:00Z,Leaver,RTN.N^D20
.SPX,2020-04-03T00:00:00Z,Joiner,CARR.N
.SPX,2020-04-03T00:00:00Z,Joiner,OTIS.N
.SPX,2020-03-03T00:00:00Z,Leaver,XEC.N^J21
.SPX,2020-02-03T00:00:00Z,Joiner,IR.N
.SPX,2020-01-28T00:00:00Z,Leaver,WCG.N^A20
.SPX,2020-01-28T00:00:00Z,Joiner,PAYC.N
.SPX,2019-12-23T00:00:00Z,Leaver,MAC.N
.SPX,2019-12-23T00:00:00Z,Joiner,LYV.N
.SPX,2019-12-23T00:00:00Z,Joiner,ZBRA.OQ
.SPX,2019-12-23T00:00:00Z,Leaver,AMG.N
.SPX,2019-12-23T00:00:00Z,Leaver,TRIP.OQ
.SPX,2019-12-23T00:00:00Z,Joiner,STE.N
.SPX,2019-12-09T00:00:00Z,Leaver,STI.N^L19
.SPX,2019-12-09T00:00:00Z,Joiner,ODFL.OQ
.SPX,2019-12-05T00:00:00Z,Joiner,WRB.N
.SPX,2019-12-05T00:00:00Z,Leaver,VIAB.OQ^L19
.SPX,2019-11-21T00:00:00Z,Leaver,CELG.OQ^K19
.SPX,2019-11-21T00:00:00Z,Joiner,NOW.N
.SPX,2019-10-03T00:00:00Z,Joiner,LVS.N
.SPX,2019-10-03T00:00:00Z,Leaver,NKTR.OQ
.SPX,2019-09-26T00:00:00Z,Leaver,JEF.N
.SPX,2019-09-26T00:00:00Z,Joiner,NVR.N
.SPX,2019-09-23T00:00:00Z,Leaver,TSS.N^I19
.SPX,2019-09-23T00:00:00Z,Joiner,CDW.OQ
.SPX,2019-08-09T00:00:00Z,Joiner,IEX.N
.SPX,2019-08-09T00:00:00Z,Joiner,LDOS.N
.SPX,2019-08-09T00:00:00Z,Leaver,APC.N^H19
.SPX,2019-08-09T00:00:00Z,Leaver,FL.N
.SPX,2019-07-15T00:00:00Z,Joiner,TMUS.OQ
.SPX,2019-07-15T00:00:00Z,Leaver,RHT.N^G19
.SPX,2019-07-01T00:00:00Z,Leaver,LLL.N^G19
.SPX,2019-07-01T00:00:00Z,Joiner,MKTX.OQ
.SPX,2019-06-07T00:00:00Z,Leaver,MAT.OQ
.SPX,2019-06-07T00:00:00Z,Joiner,AMCR.N
.SPX,2019-06-04T00:00:00Z,Leaver,FLR.N
.SPX,2019-06-03T00:00:00Z,Joiner,CTVA.N
.SPX,2019-05-24T00:00:00Z,Leaver,KTB.N
.SPX,2019-05-23T00:00:00Z,Joiner,KTB.N
.SPX,2019-04-03T00:00:00Z,Leaver,BHF.OQ
.SPX,2019-04-02T00:00:00Z,Joiner,DOW.N
.SPX,2019-03-20T00:00:00Z,Leaver,TFCF.OQ^C19
.SPX,2019-03-20T00:00:00Z,Leaver,TFCFA.OQ^C19
.SPX,2019-03-19T00:00:00Z,Joiner,FOXA.OQ
.SPX,2019-03-19T00:00:00Z,Joiner,FOX.OQ
.SPX,2019-02-27T00:00:00Z,Joiner,WAB.N
.SPX,2019-02-27T00:00:00Z,Leaver,GT.OQ
.SPX,2019-02-15T00:00:00Z,Leaver,NFX.N^B19
.SPX,2019-02-15T00:00:00Z,Joiner,ATO.N
.SPX,2019-02-11T00:00:00Z,Leaver,CVET.OQ
.SPX,2019-02-08T00:00:00Z,Joiner,CVET.OQ
.SPX,2019-01-18T00:00:00Z,Leaver,PCG.N
.SPX,2019-01-18T00:00:00Z,Joiner,TFX.N
.SPX,2019-01-02T00:00:00Z,Leaver,SCG.N^A19
.SPX,2019-01-02T00:00:00Z,Joiner,FRC.N
.SPX,2018-12-24T00:00:00Z,Joiner,CE.N
.SPX,2018-12-24T00:00:00Z,Leaver,ESRX.OQ^L18
.SPX,2018-12-03T00:00:00Z,Joiner,FANG.OQ
.SPX,2018-12-03T00:00:00Z,Leaver,COL.N^K18
.SPX,2018-12-03T00:00:00Z,Joiner,MXIM.OQ^H21
.SPX,2018-12-03T00:00:00Z,Leaver,SRCL.OQ
.SPX,2018-12-03T00:00:00Z,Joiner,LW.N
.SPX,2018-12-03T00:00:00Z,Leaver,AET.N^K18
.SPX,2018-11-13T00:00:00Z,Joiner,JKHY.OQ
.SPX,2018-11-13T00:00:00Z,Leaver,EQT.N
.SPX,2018-11-06T00:00:00Z,Leaver,CA.OQ^K18
.SPX,2018-11-06T00:00:00Z,Joiner,KEYS.N
.SPX,2018-10-30T00:00:00Z,Leaver,REZI.N
.SPX,2018-10-29T00:00:00Z,Joiner,REZI.N
.SPX,2018-10-11T00:00:00Z,Leaver,EVHC.N^J18
.SPX,2018-10-11T00:00:00Z,Joiner,FTNT.OQ
.SPX,2018-10-02T00:00:00Z,Leaver,GTX.N^I20
.SPX,2018-10-01T00:00:00Z,Joiner,ROL.N
.SPX,2018-10-01T00:00:00Z,Leaver,ANDV.N^J18
.SPX,2018-10-01T00:00:00Z,Joiner,GTX.N^I20
.SPX,2018-09-17T00:00:00Z,Joiner,WCG.N^A20
.SPX,2018-09-17T00:00:00Z,Leaver,XL.N^I18
.SPX,2018-08-28T00:00:00Z,Leaver,GGP.N^H18
.SPX,2018-08-28T00:00:00Z,Joiner,ANET.N
.SPX,2018-07-02T00:00:00Z,Leaver,KDP.OQ
.SPX,2018-07-02T00:00:00Z,Joiner,CPRT.OQ
.SPX,2018-06-20T00:00:00Z,Leaver,TWX.N^F18
.SPX,2018-06-20T00:00:00Z,Joiner,FLT.N
.SPX,2018-06-18T00:00:00Z,Joiner,DINO.N
.SPX,2018-06-18T00:00:00Z,Joiner,BR.N
.SPX,2018-06-18T00:00:00Z,Leaver,AYI.N
.SPX,2018-06-18T00:00:00Z,Leaver,RRC.N
.SPX,2018-06-07T00:00:00Z,Leaver,MON.N^F18
.SPX,2018-06-07T00:00:00Z,Joiner,TWTR.N
.SPX,2018-06-05T00:00:00Z,Leaver,NAVI.OQ
.SPX,2018-06-05T00:00:00Z,Joiner,EVRG.N
.SPX,2018-06-04T00:00:00Z,Leaver,PRSP.N^E21
.SPX,2018-06-01T00:00:00Z,Joiner,PRSP.N^E21
.SPX,2018-05-31T00:00:00Z,Leaver,TNL.N
.SPX,2018-05-31T00:00:00Z,Joiner,ABMD.OQ
.SPX,2018-05-10T00:00:00Z,Leaver,CHX.OQ
.SPX,2018-05-09T00:00:00Z,Joiner,CHX.OQ
.SPX,2018-05-02T00:00:00Z,Leaver,NVT.N
.SPX,2018-05-01T00:00:00Z,Joiner,NVT.N
.SPX,2018-04-04T00:00:00Z,Leaver,CSRA.N^D18
.SPX,2018-04-04T00:00:00Z,Joiner,MSCI.N
.SPX,2018-03-19T00:00:00Z,Leaver,CHK.N^F20
.SPX,2018-03-19T00:00:00Z,Joiner,SIVB.OQ
.SPX,2018-03-19T00:00:00Z,Leaver,SIG.N
.SPX,2018-03-19T00:00:00Z,Leaver,PDCO.OQ
.SPX,2018-03-19T00:00:00Z,Joiner,TTWO.OQ
.SPX,2018-03-19T00:00:00Z,Joiner,NKTR.OQ
.SPX,2018-03-07T00:00:00Z,Leaver,SNI.OQ^C18
.SPX,2018-03-07T00:00:00Z,Joiner,IPGP.OQ
.SPX,2018-01-03T00:00:00Z,Joiner,HII.N
.SPX,2018-01-03T00:00:00Z,Leaver,BCR.N^L17
.SPX,2017-12-06T00:00:00Z,Leaver,DLPH.N^J20
.SPX,2017-12-05T00:00:00Z,Joiner,DLPH.N^J20
.SPX,2017-10-13T00:00:00Z,Joiner,NCLH.N
.SPX,2017-10-13T00:00:00Z,Leaver,LVLT.N^K17
.SPX,2017-09-18T00:00:00Z,Joiner,CDNS.OQ
.SPX,2017-09-18T00:00:00Z,Leaver,SPLS.OQ^I17
.SPX,2017-09-01T00:00:00Z,Leaver,DOW.N^I17
.SPX,2017-09-01T00:00:00Z,Leaver,DD.N^I17
.SPX,2017-09-01T00:00:00Z,Joiner,SBAC.OQ
.SPX,2017-09-01T00:00:00Z,Joiner,DD.N
.SPX,2017-08-29T00:00:00Z,Leaver,WFM.OQ^H17
.SPX,2017-08-29T00:00:00Z,Joiner,IQV.N
.SPX,2017-08-08T00:00:00Z,Leaver,AN.N
.SPX,2017-08-07T00:00:00Z,Joiner,BHF.OQ
.SPX,2017-07-26T00:00:00Z,Leaver,MNK.N^J20
.SPX,2017-07-26T00:00:00Z,Joiner,AOS.N
.SPX,2017-07-26T00:00:00Z,Leaver,MUR.N
.SPX,2017-07-26T00:00:00Z,Leaver,RAI.N^G17
.SPX,2017-07-26T00:00:00Z,Leaver,RIG.N
