,ISIN,error
CMI.N,US2310211063,
EOG.N,US26875P1012,
HLT.N^J07,US4328481092,
KM.N^L02,US8123501061,
AIT.N^J99,US0309541011,
AIV.N,US03748R7474,
RAI.N^G17,US7617131062,
CIT.N^K09,US1255811085,
FFIV.OQ,US3156161024,
ADI.OQ,US0326541051,
ALGN.OQ,US0162551016,
MO.N,US02209S1033,
TT.N,IE00BK9ZQ967,
WIN.OQ^C19,US97382A3095,
WAB.N,US9297401088,
PTV.N^K10,US6952571056,
WMX.N^G98,US94106K1016,
HSH.N^H14,US4325891095,
EVHC.N^L16,US29413U1034,
ZTS.N,US98978V1035,
AVGO.OQ,US11135F1012,
FHN.N,US3205171057,
BOL.N^J07,US0717071031,
AIZ.N,US04621X1081,
PZS.N^L99,US2240445039,
SFS.N^H00,US80218K1051,
GENZ.OQ^D11,US3729171047,
LUV.N,US8447411088,
COF.N,US14040H1059,
INTC.OQ,US4581401001,
HCR.N^L07,US5640551017,
TAP.N,US60871R2094,
CNX.N,US12653C1080,
HIG.N,US4165151048,
FRT.N,US3137451015,
DELL.OQ^J13,US24702R1014,
DJ.N^L07,US2605611050,
AVP.N^A20,US0543031027,
CFC.N^G08,US2223721042,
BBBY.OQ,US0758961009,
AKAM.OQ,US00971T1016,
NI.N,US65473P1057,
ETFC.OQ^J20,US2692464017,
FDC.N^I07,US3199631041,
BSET.OQ,US0702031040,
L.N,US5404241086,
ROL.N,US7757111049,
FNB.N^L95,US3194551012,
SANM.OQ,US8010561020,
CC.N^K08,US1727371080,
USS.N^J98,US9127071069,
NFX.N^B19,US6512901082,
SPLS.OQ^I17,US8550301027,
NCE.N^H00,US64352U1034,
YELL.OQ,US9855101062,
GPN.N,US37940X1028,
CPRI.N,VGG1890L1076,
USHC.O^G96,US9119101072,
SLR.N^J07,US8341821077,
CBH.N^D08,US2005191067,
SOV.N^A09,US8459051087,
SBNY.OQ,US82669G1040,
PTC.OQ,US69370C1009,
SWN.N,US8454671095,
PVT.N^F99,US7438621044,
FISV.OQ,US3377381088,
TIE.N^A13,US8883392073,
OKE.N,US6826801036,
GRA.N^I21,US38388F1084,
HWM.N,US4432011082,
SK.N^E98,US7864841058,
CAG.N,US2058871029,
NFB.N^L06,US6594241050,
ATI.N^F99,US00949T1007,
ANET.N,US0404131064,
BFI.N^H99,US1158851055,
TAPb.N^D04,US89420G4064,
UPC.N^G04,US9080681094,
TNL.N,US8941641024,
VIAV.OQ,US9255501051,
BNL.N^F98,US0817211024,
MOB.N^K99,US6070591028,
WYE.N^J09,US9830241009,
SUB.N^C01,US8660051017,
EXPE.OQ,US30212P3038,
UPJ.N^K95,US9153021038,
EC.N^F06,US2928451044,
ESRX.OQ^L18,US30219G1085,
AM.N^H13,US0263751051,
IPG.N,US4606901001,
CPT.N,US1331311027,
PEP.OQ,US7134481081,
WRB.N,US0844231029,
IT.N,US3666511072,
ODP.OQ,US88337F1057,
STZ.N,US21036P1084,
BKNG.OQ,US09857L1089,
FLR_w.N^L00,US3434121022,
ONL.N,US68629Y1038,
BRCM.OQ^B16,US1113201073,
DNR.N^G20,US2479162081,
COO.N,US2166484020,
SHLD.OQ^J18,US8123501061,
PAYX.OQ,US7043261079,
S.N^C05,US8123871084,
ENS.N^H97,US2935671030,
SLM.OQ,US78442P1066,
MSFT.OQ,US5949181045,
TKR.N,US8873891043,
TSG.N^D07,US7859051002,
CELG.OQ^K19,US1510201049,
TSCO.OQ,US8923561067,
VIAB.OQ^L19,US92553P2011,
DTM.N,US23345M1071,
MWV.N^G15,US5833341077,
MFE.N^C11,US5790641063,
STT.N,US8574771031,
DGX.N,US74834L1008,
PKI.N,US7140461093,
